kanji,english,components,on_reading,kun_reading
耐,#NAME?,comb; glue,タイ,た.える
需,demand,rain; weather; comb,ジュ,
儒,Confucian,confucian; person; demand; rain; weather; comb,ジュ,
端,edge,vase; stand up; pick-axe; mountain; comb,タン,はし; は; はた; -ばた; はな
両,both,street; nail; spike; belt; shovel,リョウ,てる; ふたつ
満,full,water; water droplets; water pistol; flowers; both; street; nail; spike; belt; shovel,マン; バン,み.ちる; み.つ; み.たす
画,brush-stroke,one; ceiling; sprout; shoot; shovel,ガ; カク; エ; カイ,えが.く; かく.する; かぎ.る; はかりごと; はか.る
歯,tooth,stop; footprint; bag of rice; shovel,シ,よわい; は; よわ.い; よわい.する
曲,bend,rice field; brains; stick,キョク,ま.がる; ま.げる
曹,cadet,one; bend; sun; day,ソウ; ゾウ,つかさ; ともがら; へや
遭,encounter,cadet; one; bend; sun; day; road,ソウ,あ.う; あ.わせる
漕,rowing,water; water droplets; water pistol; cadet; one; bend; sun; day,ソウ,こ.ぐ; はこ.ぶ
槽,vat,tree; wood; cadet; one; bend; sun; day,ソウ,ふね
斗,Big Dipper,big dipper; measuring cup; big dipper; The Plough; drop; ten; needle,ト; トウ,
料,fee,rice; measuring cup; big dipper; The Plough; drop; ten; needle,リョウ,
科,department,wheat; cereal; measuring cup; big dipper; The Plough; drop; ten; needle,カ,
図,map,pent in; measuring cup; big dipper; The Plough; drop; ten; needle,ズ; ト,え; はか.る
用,utilize,moon; month; flesh; part of the body; walking stick,ヨウ,もち.いる
庸,comfortable,commonplace; cave; rake; screwdriver; utilise; utilize; moon; month; flesh; part of the body; walking stick,ヨウ,
備,equip,person; flowers; cliff; screwdriver; utilise; utilize; moon; month; flesh; part of the body; walking stick,ビ,そな.える; そな.わる; つぶさ.に
昔,once upon a time,salad; flowers; one; floor; sun; day,セキ; シャク,むかし
錯,confused,metal; gold; once upon a time; storyteller; salad; sun; day,サク; シャク,
借,borrow,person; once upon a time; storyteller; salad; sun; day,シャク,か.りる
惜,pity,Freud; state of mind; once upon a time; storyteller; salad; sun; day,セキ,お.しい; お.しむ
措,set aside,finger; fingers; once upon a time; storyteller; salad; sun; day,ソ,お.く
散,scatter,salad; moon; month; flesh; part of the body; taskmaster,サン,ち.る; ち.らす; -ち.らす; ち.らかす; ち.らかる; ばら
廿,twenty,,ジュウ; ニュウ,にじゅう
庶,commoner,caverns; cave; twenty; oven-fire; barbecue,ショ,
遮,intercept,commoner; caverns; cave; twenty; oven-fire; barbecue; road,シャ,さえぎ.る
席,seat,caverns; cave; twenty; towel,セキ,むしろ
度,degrees,caverns; cave; twenty; crotch,ド; ト; タク,たび; -た.い
渡,transit,water; water droplets; water pistol; degrees; caverns; cave; twenty; crotch,ト,わた.る; -わた.る; わた.す
奔,bustle,large; St. Bernard; haystack; ten; needle,ホン,はし.る
噴,erupt,mouth; pitchfork; haystack; ten; needle; shellfish; clam; oyster; eye; animal legs; eight,フン,ふ.く
墳,tomb,soil; dirt; ground; pitchfork; haystack; ten; needle; shellfish; clam; oyster; eye; animal legs; eight,フン,
憤,aroused,Freud; state of mind; pitchfork; haystack; ten; needle; shellfish; clam; oyster; eye; animal legs; eight,フン,いきどお.る
焼,bake,hearth fire; lofty; strawman; wickerman; haystack; ten; needle; one; human legs,ショウ,や.く; や.き; や.き-; -や.き; や.ける
暁,daybreak,sun; lofty; strawman; wickerman; haystack; ten; needle; one; human legs,ギョウ; キョウ,あかつき; さと.る
半,half,small; ten; needle,ハン,なか.ば
伴,consort,person; half,ハン; バン,ともな.う
畔,paddy ridge,paddy-ridge; rice field; brains; half,ハン,あぜ; くろ; ほとり
判,judgment,judgement; half; sword; sabre; saber,ハン; バン,わか.る
拳,fist,quarter; hand,ケン; ゲン,こぶし
券,ticket,quarter; sword; dagger,ケン,
巻,scroll,quarter; snake; self,カン; ケン,ま.く; まき; ま.き
圏,sphere,pent in; scroll; quarter; snake; self,ケン,かこ.い
勝,victory,edam; moon; month; flesh; part of the body; quarter; power; muscle; arnold,ショウ,か.つ; -が.ち; まさ.る; すぐ.れる; かつ
藤,wisteria,flowers; edam; moon; month; flesh; part of the body; quarter; grains of rice,トウ; ドウ,ふじ
謄,facsimilie,mimeograph; facsimile; edam; moon; month; flesh; part of the body; quarter; say; words; keitai; mouth,トウ,
片,one-sided,waiter with wine on tray,ヘン,かた-; かた
版,printing block,one-sided; waiter with wine on tray; anti-; demonstration; cliff; crotch,ハン,
之,of,Zorro; building blocks; zig-zag,シ,の; これ; おいて; ゆく; この
乏,destitution,drop; of; Zorro; building blocks; zig-zag,ボウ,とぼ.しい; とも.しい
芝,turf,flowers; of; Zorro; building blocks; zig-zag,シ,しば
不,negative,one; ceiling; person; drop,フ; ブ,
否,negate,negative; mouth,ヒ,いな; いや
杯,cupfuls,tree; wood; negative,ハイ,さかずき
矢,dart,drop; heavens,シ,や
矯,rectify,dart; drop; heavens; angel; heavens; mouth; hood; mouth,キョウ,た.める
族,tribe,banner; direction; compass; direction; reclining; lying down; dart; drop; heavens,ゾク,
知,know,dart; drop; heavens; mouth,チ,し.る; し.らせる
智,wisdom,know; dart; drop; heavens; mouth; sun; day; tongue wagging,チ,
挨,shove,finger; fingers; elbow; dart; drop; heavens,アイ,ひら.く
矛,halberd,beforehand,ム; ボウ,ほこ
柔,tender,halberd; beforehand; tree; wood,ジュウ; ニュウ,やわ.らか; やわ.らかい; やわ; やわ.ら
務,task,halberd; beforehand; taskmaster; power; muscle; arnold,ム,つと.める
霧,fog,rain; weather; task; halberd; beforehand; taskmaster; power; muscle; arnold,ム; ボウ; ブ,きり
班,squad,sword; spear; cutlass; king; jewel; ball,ハン,
帰,homecoming,sword; spear; cutlass; feather duster; broom; apron; crown; towel,キ,かえ.る; かえ.す; おく.る; とつ.ぐ
弓,bow,,キュウ,ゆみ
引,pull,bow; stick,イン,ひ.く; ひ.き; ひ.き-; -び.き; ひ.ける
弔,condolences,bow; walking stick,チョウ,とむら.う; とぶら.う
弘,vast,bow; elbow,コウ; グ,ひろ.い
強,strong,bow; elbow; insect,キョウ; ゴウ,つよ.い; つよ.まる; つよ.める; し.いる; こわ.い
弥,more and more,bow; hammock; reclining; lying down; small; little,ミ; ビ,いや; や; あまねし; いよいよ; とおい; ひさし; ひさ.しい; わた.る
弱,weak,bow; ice,ジャク,よわ.い; よわ.る; よわ.まる; よわ.める
溺,drowning,water; water droplets; water pistol; weak; bow; ice,デキ; ジョウ; ニョウ,いばり; おぼ.れる
沸,seethe,water; water droplets; water pistol; dollar; bow; stick,フツ,わ.く; わ.かす
費,expense,dollar; bow; stick; shellfish; clam; oyster; eye; animal legs; eight,ヒ,つい.やす; つい.える
第,No.,no.; bamboo; dollar; bow; stick,ダイ; テイ,
弟,younger brother,horns; dollar; bow; stick,テイ; ダイ; デ,おとうと
巧,adroit,craft; snare,コウ,たく.み; たく.む; うま.い
号,nickname,mouth; snare,ゴウ,さけ.ぶ; よびな
朽,decay,tree; wood; snare,キュウ,く.ちる
誇,boast,say; words; keitai; mouth; Batman; large; St. Bernard; chandelier; one; ceiling; snare,コ,ほこ.る
顎,chin,mousetrap; mouth; one; ceiling; snare; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガク,あご; あぎと
汚,dirty,water; water droplets; water pistol; snare; one; spike; stick,オ,けが.す; けが.れる; けが.らわしい; よご.す; よご.れる; きたな.い
与,bestow,slingshot; catapult; one,ヨ,あた.える; あずか.る; くみ.する; ともに
写,copy,crown; bestow; slingshot; catapult; one,シャ; ジャ,うつ.す; うつ.る; うつ-; うつ.し
身,somebody,nose,シン,み
射,shoot,somebody; nose; glue,シャ,い.る; さ.す
謝,apologize,say; words; keitai; mouth; shoot bang bang; somebody; nose; glue,シャ,あやま.る
老,old man,soil; dirt; ground; spoon; sitting on the ground,ロウ,お.いる; ふ.ける
考,consider,old man; slingshot; catapult,コウ,かんが.える; かんが.え
孝,filial piety,old man; child,コウ; キョウ,
教,teach,filial piety; old man; child; taskmaster,キョウ,おし.える; おそ.わる
拷,torture,finger; fingers; consider; old man; slingshot; catapult,ゴウ,
者,someone,puppet; sooty; old man; sun; day,シャ,もの
煮,boil,someone; puppet; sooty; old man; sun; day; oven-fire; barbecue,シャ,に.る; -に; に.える; に.やす
著,renowned,flowers; someone; puppet; sooty; old man; sun; day,チョ; チャク,あらわ.す; いちじる.しい
箸,chopsticks,bamboo; someone; puppet; sooty; old man; sun; day,チョ; チャク,はし
署,signature,eye; cross-eyed; net; someone; puppet; sooty; old man; sun; day,ショ,
暑,sultry,sun; day; someone; puppet; sooty; old man,ショ,あつ.い
諸,various,say; words; keitai; mouth; someone; puppet; sooty; old man; sun; day,ショ,もろ
猪,boar,pack of wild dogs; someone; puppet; sooty; old man; sun; day,チョ,い; いのしし
渚,strand,water; water droplets; water pistol; someone; puppet; sooty; old man; sun; day,ショ,なぎさ
賭,gamble,shellfish; clam; oyster; eye; animal legs; eight; someone; puppet; sooty; old man; sun; day,ト,か.ける; かけ
峡,gorge,mountain; scissors; husband; horns,キョウ; コウ,はざま
狭,cramped,pack of wild dogs; scissors; husband; horns,キョウ; コウ,せま.い; せば.める; せば.まる; さ
挟,sandwiched,finger; fingers; scissors; husband; horns,キョウ; ショウ,はさ.む; はさ.まる; わきばさ.む; さしはさ.む
頬,cheek,,,
追,chase,maestro; road,ツイ,お.う
阜,large hill,maestro; ten; needle,フ; フウ,
師,expert,maestro; noren; one; ceiling; towel,シ; ス,もろもろ; なら.う
帥,commander,maestro; towel,スイ,
官,bureaucrat,house; maestro without baton,カン,
棺,coffin,tree; wood; bureaucrat; house; maestro without baton,カン,
管,pipe,bamboo; bureaucrat; house; maestro without baton,カン,くだ
父,father,,フ,ちち
釜,cauldron,father; metal; gold,フ,かま
交,mingle,top hat; father,コウ,まじ.わる; まじ.える; ま.じる; まじ.る; ま.ざる; ま.ぜる; -か.う; か.わす; かわ.す; こもごも
効,merit,mingle; top hat; father; power; muscle; arnold,コウ,き.く; ききめ; なら.う
較,contrast,car; mingle; top hat; father,カク; コウ,くら.べる
校,exam,tree; wood; mingle; top hat; father,コウ; キョウ,
足,leg,mouth; mending; mend,ソク,あし; た.りる; た.る; た.す
促,stimulate,person; leg; mouth; mending; mend,ソク,うなが.す
捉,nab,finger; fingers; leg; mouth; mend,ソク; サク,とら.える
距,long-distance,wooden leg; mouth; stop; footprint; giant,キョ,へだ.たる; けづめ
路,path,wooden leg; mouth; stop; footprint; each; walking legs; mouth,ロ; ル,-じ; みち
露,dew,rain; weather; path; wooden leg; mouth; stop; footprint; each; walking legs; mouth,ロ; ロウ,つゆ
跳,hop,wooden leg; mouth; stop; footprint; portent; omen,チョウ,は.ねる; と.ぶ; -と.び
躍,leap,wooden leg; mouth; stop; footprint; futon; feathers; wings; turkey,ヤク,おど.る
践,tread,wooden leg; mouth; stop; footprint; parade float,セン,ふ.む
踏,step,wooden leg; mouth; stop; footprint; wednesday; boots; water; sun; day,トウ,ふ.む; ふ.まえる
踪,trail,,ショウ; ソウ,あと
骨,skeleton,joint; moon; month; flesh; part of the body,コツ,ほね
滑,slippery,water; water droplets; water pistol; skeleton; joint; moon; month; flesh; part of the body,カツ; コツ,すべ.る; なめ.らか
髄,marrow,skeleton; joint; moon; month; flesh; part of the body; highwayman; possess; by one’s side; road,ズイ,
禍,calamity,altar; jawbone; joint; hood; mouth,カ,わざわい
渦,whirlpool,water; water droplets; water pistol; jawbone; joint; hood; mouth,カ,うず
鍋,pot,metal; gold; jawbone; joint; hood; mouth,カ,なべ
過,overdo,jawbone; joint; hood; mouth; road,カ,す.ぎる; -す.ぎる; -す.ぎ; す.ごす; あやま.つ; あやま.ち; よ.ぎる
阪,Heights,heights; pinnacle; parthenon; acropolis; anti-; demonstration; cliff; crotch,ハン,さか
阿,Africa,africa; pinnacle; parthenon; acropolis; can; mouth; street; nail; spike,ア; オ,おもね.る
際,occasion,pinnacle; parthenon; acropolis; ritual; moon; month; flesh; part of the body; crotch; altar; show; two; small,サイ,きわ; -ぎわ
障,hinder,pinnacle; parthenon; acropolis; badge; vase; stand up; sunflower; early; sun; day; ten; needle,ショウ,さわ.る
隙,chink,pinnacle; parthenon; acropolis; small; little; sun; day; little,ゲキ; キャク; ケキ,すき; す.く; す.かす; ひま
随,follow,pinnacle; parthenon; acropolis; highwayman; possess; by one’s side; moon; month; flesh; part of the body; road,ズイ,まにまに; したが.う
陪,auxiliary,obeisance; pinnacle; parthenon; acropolis; muzzle; vase; stand up; mouth,バイ,
陽,sunshine,pinnacle; parthenon; acropolis; piggy bank; sun; day; piglets,ヨウ,ひ
陳,line up,exhibit; pinnacle; parthenon; acropolis; east; tree; wood; sun; day,チン,ひ.ねる
防,ward off,pinnacle; parthenon; acropolis; compass; direction,ボウ,ふせ.ぐ
附,affixed,pinnacle; parthenon; acropolis; adhere; sellotape; person; glue,フ,つ.ける; つ.く
院,Inst.,pinnacle; parthenon; acropolis; perfect; house; beginnings; two; human legs,イン,
陣,camp,pinnacle; parthenon; acropolis; car,ジン,
隊,regiment,pinnacle; parthenon; acropolis; animal horns; sow; pig; wart hog; regimental mascot,タイ,
墜,crash,regiment; pinnacle; parthenon; acropolis; animal horns; sow; pig; wart hog; regimental mascot; soil; dirt; ground,ツイ,お.ちる; お.つ
降,descend,pinnacle; parthenon; acropolis; walking legs; sunglasses with one lens missing; monocle,コウ; ゴ,お.りる; お.ろす; ふ.る; ふ.り; くだ.る; くだ.す
階,story,storey; pinnacle; parthenon; acropolis; all; compare; spoon; sitting on the ground; white; dove,カイ,きざはし
陛,highness,pinnacle; parthenon; acropolis; compare; spoon; sitting on the ground; soil; dirt; ground,ヘイ,
隣,neighboring,neighbouring; pinnacle; parthenon; acropolis; shoeshine; rice; sunglasses; dancing legs; ballerina; evening,リン,とな.る; となり
隔,isolate,pinnacle; parthenon; acropolis; tripod; one; ceiling; mouth; hood; human legs; street; nail; spike,カク,へだ.てる; へだ.たる
隠,conceal,pinnacle; parthenon; acropolis; hideaway; claw; vulture; broom; heart,イン; オン,かく.す; かく.し; かく.れる; かか.す; よ.る
堕,degenerate,pinnacle; parthenon; acropolis; possess; by one’s side; moon; month; flesh; part of the body; ground; soil; dirt; ground,ダ,お.ちる; くず.す; くず.れる
陥,collapse,pinnacle; parthenon; acropolis; straight-jacket; bound up; olden times; old days; stick; sun; day,カン,おちい.る; おとしい.れる
穴,hole,house; eight,ケツ,あな
空,empty,hole; house; human legs; craft,クウ,そら; あ.く; あ.き; あ.ける; から; す.く; す.かす; むな.しい
控,withdraw,finger; fingers; empty; sky; hole; house; human legs; craft,コウ,ひか.える; ひか.え
突,stab,hole; house; human legs; large; St. Bernard,トツ; カ,つ.く
究,research,hole; house; human legs; nine; baseball,キュウ; ク,きわ.める
窒,plug up,hole; house; human legs; climax; wall; one; ceiling; elbow; soil; dirt; ground,チツ,
窃,stealth,hole; house; human legs; cut; seven; sword; dagger,セツ,ぬす.む; ひそ.か
窟,cavern,hole; house; human legs; yield; flag; exit,クツ; コツ,いわや; いはや; あな
窪,depression,hole; house; human legs; water; water droplets; water pistol; ivy; square jewel; soil; dirt; ground,ワ; ア,くぼ.む; くぼ.み; くぼ.まる; くぼ
搾,squeeze,finger; fingers; tight; hole; house; human legs; saw,サク,しぼ.る
窯,kiln,hole; house; human legs; sheep; oven-fire; barbecue,ヨウ,かま
窮,hard up,hole; house; human legs; somebody; nose; bow,キュウ; キョウ,きわ.める; きわ.まる; きわ.まり; きわ.み
探,grope,finger; fingers; paper punch; Miss World; hole; house; human legs; tree; wood,タン,さぐ.る; さが.す
深,deep,water; water droplets; water pistol; paper punch; Miss World; hole; house; human legs; tree; wood,シン,ふか.い; -ぶか.い; ふか.まる; ふか.める; み-
丘,hill,axe; one; floor,キュウ,おか
岳,Point,point; hill; axe; one; floor; mountain,ガク,たけ
兵,soldier,hill; axe; one; floor; animal legs; eight,ヘイ; ヒョウ,つわもの
浜,seacoast,water; water droplets; water pistol; soldier; hill; axe; one; floor; animal legs; eight,ヒン,はま
糸,thread,spiderman,シ,いと
織,weave,thread; spiderman; kazoo; sound; vase; stand up; sun; day; fiesta,ショク; シキ,お.る; お.り; おり; -おり; -お.り
繕,darning,thread; spiderman; virtuous; sheep; horns; mouth,ゼン,つくろ.う
縮,shrink,thread; spiderman; inn; house; person; hundred; one; ceiling; white; dove,シュク,ちぢ.む; ちぢ.まる; ちぢ.める; ちぢ.れる; ちぢ.らす
繁,luxuriant,cleverness; reclining; lying down; mother; breasts; taskmaster; thread; spiderman,ハン,しげ.る; しげ.く
縦,vertical,thread; spiderman; accompany; Nelson; column; going; line; horns; mend,ジュウ,たて
緻,fine,,チ,こまか.い
線,line,thread; spiderman; spring; white; dove; water,セン,すじ
綻,come apart at the seams,thread; spiderman; determine; determined; house; mend,タン,ほころ.びる
締,tighten,thread; spiderman; sovereign; vase; stand up; apron; crown; towel,テイ,し.まる; し.まり; し.める; -し.め; -じ.め
維,fiber,thread; spiderman; turkey,イ,
羅,gauze,eye; cross-eyed; net; fibre; thread; spiderman; turkey,ラ,うすもの
練,practice,thread; spiderman; east; tree; wood; sun; day,レン,ね.る; ね.り
緒,thong,thread; spiderman; someone; puppet; sooty; old man; sun; day,ショ; チョ,お; いとぐち
続,continue,thread; spiderman; sell; samurai; crown; human legs,ゾク; ショク; コウ; キョウ,つづ.く; つづ.ける; つぐ.ない
絵,picture,thread; spiderman; meeting; one; wall; umbrella; rising cloud; two; elbow; wall,カイ; エ,
統,overall,thread; spiderman; allot; infant; toddler; top hat; elbow; human legs,トウ,す.べる; ほび.る
絞,strangle,thread; spiderman; mingle; top hat; father,コウ,しぼ.る; し.める; し.まる
給,salary,thread; spiderman; fit; meeting; umbrella; one; mouth,キュウ,たま.う; たも.う; -たま.え
絡,entwine,thread; spiderman; each; walking legs; mouth,ラク,から.む; から.まる
結,tie,thread; spiderman; aerosol; samurai; mouth,ケツ; ケチ,むす.ぶ; ゆ.う; ゆ.わえる
終,end,thread; spiderman; winter; walking legs; ice; drop,シュウ,お.わる; -お.わる; おわ.る; お.える; つい; つい.に
級,class,thread; spiderman; reach out; outstretched hands,キュウ,
紀,chronicle,thread; spiderman; snake; self,キ,
紅,crimson,thread; spiderman; craft,コウ; ク,べに; くれない; あか.い
納,settlement,thread; spiderman; inside; person; belt,ノウ; ナッ; ナ; ナン; トウ,おさ.める; -おさ.める; おさ.まる
紡,spinning,thread; spiderman; compass; direction,ボウ,つむ.ぐ
紛,distract,thread; spiderman; part; eight; sword; dagger,フン,まぎ.れる; -まぎ.れ; まぎ.らす; まぎ.らわす; まぎ.らわしい
紹,introduce,thread; spiderman; summon; seduce; sword; dagger; mouth,ショウ,
経,sutra,thread; spiderman; spool; clod; toilet paper; crotch; soil; dirt; ground,ケイ; キョウ,へ.る; た.つ; たていと; はか.る; のり
紳,sire,thread; spiderman; monkey; sun; day; stick,シン,
約,promise,thread; spiderman; ladle,ヤク,
細,dainty,thread; spiderman; rice field; brains,サイ,ほそ.い; ほそ.る; こま.か; こま.かい
累,accumulate,rice field; brains; thread; spiderman,ルイ,
索,cord,bishop; cross; ten; needle; crown; thread; spiderman,サク,
総,general,thread; spiderman; public; eight; elbows; heart,ソウ,す.べて; すべ.て; ふさ
綿,cotton,thread; spiderman; napkin; white; dove; towel,メン,わた
絹,silk,thread; spiderman; mouth; moon; month; flesh; part of the body,ケン,きぬ
繰,winding,thread; spiderman; furniture; goods; mouth; tree; wood,ソウ,く.る
継,inherit,thread; spiderman; rice; fishhook,ケイ,つ.ぐ; まま-
緑,green,thread; spiderman; dustpan; broom; grains of rice,リョク; ロク,みどり
縁,affinity,thread; spiderman; broom; sow; pig,エン; ネン,ふち; ふちど.る; ゆかり; よすが; へり; えにし
網,netting,thread; spiderman; glass jar; hood; horns; one; deceased; perish; top hat; fishhook,モウ,あみ
緊,tense,loincloth; retainer; slave; crotch; thread; spiderman,キン,
紫,purple,Prince; this here; stop; footprint; spoon; sitting on the ground; thread; spiderman,シ,むらさき
縛,truss,thread; spiderman; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,バク,しば.る
縄,straw rope,thread; spiderman; eels; sun; day,ジョウ,なわ; ただ.す
幼,infancy,cocoon; power; muscle; arnold,ヨウ,おさな.い
後,behind,Nelson; column; going; line; cocoon; walking legs,ゴ; コウ,のち; うし.ろ; うしろ; あと; おく.れる
幽,faint,seclude; cocoon; mountain,ユウ; ヨウ,ふか.い; かす.か; くら.い; しろ.い
幾,how many,cocoon; person; fiesta,キ,いく-; いく.つ; いく.ら
機,mechanism,tree; wood; abacus; how many; cocoon; person; fiesta,キ,はた
畿,capital suburbs,cocoon; rice field; brains; fiesta,キ,みやこ
玄,mysterious,top hat; cocoon,ゲン,
畜,livestock,mysterious; top hat; cocoon; rice field; brains,チク,
蓄,amass,flowers; livestock; mysterious; top hat; cocoon; rice field; brains,チク,たくわ.える
弦,bowstring,bow; mysterious; top hat; cocoon,ゲン,つる
擁,hug,finger; fingers; mysterious; top hat; cocoon; turkey,ヨウ,
滋,nourishing,water; water droplets; water pistol; double-mysterious; mothballs; horns; one; cocoon,ジ,
慈,mercy,double-mysterious; mothballs; horns; one; cocoon; heart,ジ,いつく.しむ
磁,magnet,stone; rock; double-mysterious; mothballs; horns; one; cocoon,ジ,
系,lineage,stick; drop; thread; spiderman,ケイ,
係,person in charge,person; lineage; drop; thread; spiderman,ケイ,かか.る; かかり; -がかり; かか.わる
孫,grandchild,child; lineage; drop; thread; spiderman,ソン,まご
懸,suspend,prefecture; eye; fishhook; small; little; lineage; stick; drop; thread; spiderman; heart,ケン; ケ,か.ける; か.かる
遜,modest,grandchild; child; lineage; drop; thread; spiderman; road,ソン,したが.う; へりくだ.る; ゆず.る
却,instead,gone; soil; dirt; ground; elbow; stamp,キャク,かえ.って; しりぞ.く; しりぞ.ける
脚,shins,skids; moon; month; flesh; part of the body; instead; gone; soil; dirt; ground; elbow; stamp,キャク; キャ; カク,あし
卸,wholesale,horseshoe; horse; pantomime horse; noon; sign of the horse; stop; footprint; stamp,シャ,おろ.す; おろし; おろ.し
御,honorable,Nelson; column; going; line; wholesale; horseshoe; pantomime horse; noon; sign of the horse; stop; footprint; stamp,ギョ; ゴ,おん-; お-; み-
服,clothing,moon; month; flesh; part of the body; underpants; stamp; crotch,フク,
命,fate,fit; meeting; umbrella; one; mouth; stamp,メイ; ミョウ,いのち
令,orders,meeting; chop-seal; hanko,レイ,
零,zero,rain; weather; orders; meeting; chop-seal; hanko,レイ,ぜろ; こぼ.す; こぼ.れる
齢,age,teeth; tooth; stop; footprint; rice; shovel; orders; meeting; chop-seal; hanko,レイ,よわ.い; とし
冷,cool,ice; orders; meeting; chop-seal; hanko,レイ,つめ.たい; ひ.える; ひ.や; ひ.ややか; ひ.やす; ひ.やかす; さ.める; さ.ます
領,jurisdiction,orders; meeting; chop-seal; hanko; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,リョウ,えり
鈴,small bell,metal; gold; orders; meeting; chop-seal; hanko,レイ; リン,すず
勇,courage,chop-seal; hanko; male; rice field; brains; power; muscle; arnold,ユウ,いさ.む
湧,bubble up,water; water droplets; water pistol; courageous; courage; chop-seal; hanko; male; rice field; brains; power; muscle; arnold,ユウ; ヨウ; ユ,わ.く
通,traffic,pogo stick; chop-seal; hanko; utilise; utilize; road,ツウ; ツ,とお.る; とお.り; -とお.り; -どお.り; とお.す; とお.し; -どお.し; かよ.う
踊,jump,wooden leg; mouth; stop; footprint; pogo stick; chop-seal; hanko; utilise; utilize,ヨウ,おど.る
疑,doubt,spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギ,うたが.う
擬,mimic,finger; fingers; doubt; spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギ,まが.い; もど.き
凝,congeal,ice; doubt; spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギョウ,こ.る; こ.らす; こご.らす; こご.らせる; こご.る
範,pattern,bamboo; car; fingerprint,ハン,
犯,crime,pack of wild dogs; fingerprint,ハン; ボン,おか.す
氾,widespread,water; water droplets; water pistol; fingerprint,ハン,ひろ.がる
厄,unlucky,cliff; fingerprint,ヤク,
危,dangerous,bound up; unlucky; cliff; fingerprint,キ,あぶ.ない; あや.うい; あや.ぶむ
宛,address,house; mailbox; evening; fingerprint,エン,あ.てる; -あて; -づつ; あたか.も
腕,arm,moon; month; flesh; part of the body; address; house; mailbox; evening; fingerprint,ワン,うで
苑,garden,flowers; mailbox; evening; fingerprint,エン; オン,その; う.つ
怨,grudge,mailbox; evening; fingerprint; heart,エン; オン; ウン,うら.む; うらみ; うら.めしい
柳,willow,tree; wood; blown eggs; sign of the hare; receipt; stamp,リュウ,やなぎ
卵,egg,sign of the hare; receipt; stamp; drops,ラン,たまご
留,detain,receipt; sword; dagger; rice field; brains,リュウ; ル,と.める; と.まる; とど.める; とど.まる; るうぶる
瑠,marine blue,king; jewel; ball; detain; receipt; dagger; sword; rice field; brains,ル; リュウ,
貿,trade,receipt; sword; dagger; shellfish; clam; oyster; eye; animal legs; eight,ボウ,
印,stamp,staples,イン,しるし; -じるし; しる.す
臼,mortar,back to back staples,キュウ; グ,うす; うすづ.く
毀,break,mortar; soil; dirt; ground; cruise missile; missile; wind; crotch,キ,こぼ.つ; こわ.す; こぼ.れる; こわ.れる; そし.る; やぶ.る
興,entertain,staples; same; monks; hood; one; mouth; tool; animal legs; eight,コウ; キョウ,おこ.る; おこ.す
酉,sign of the bird,whiskey bottle; west; one,ユウ,とり
酒,sake,water; water droplets; water pistol; whiskey bottle,シュ,さけ; さか-
酌,bartending,whiskey bottle; ladle,シャク,く.む
酎,hooch,whiskey bottle; glue,チュウ; チュ,かも.す
酵,fermentation,whiskey bottle; filial piety; old man; child,コウ,
酷,cruel,whiskey bottle; revelation; cow; mouth,コク,ひど.い
酬,repay,whiskey bottle; state; stream; drop,シュウ; シュ; トウ,むく.いる
酪,dairy products,whiskey bottle; each; walking legs; mouth,ラク,
酢,vinegar,whiskey bottle; saw,サク,す
酔,drunk,whiskey bottle; ninety; nine; baseball; ten; needle,スイ,よ.う; よ.い; よ
配,distribute,whiskey bottle; snake; self,ハイ,くば.る
酸,acid,whiskey bottle; streetwalker; Ministry of silly walks; John Cleese; license; elbow; human legs; walking legs,サン,す.い
猶,waver,furthermore; pack of wild dogs; chieftain; Molotov cocktail; animal horns; whiskey bottle,ユウ; ユ,なお
尊,revered,chieftain; Molotov cocktail; animal horns; whiskey bottle; glue,ソン,たっと.い; とうと.い; たっと.ぶ; とうと.ぶ
豆,beans,table; one; mouth,トウ; ズ,まめ; まめ-
頭,head,beans; table; one; mouth; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,トウ; ズ; ト,あたま; かしら; -がしら; かぶり
短,short,dart; drop; heavens; beans; table; one; mouth,タン,みじか.い
豊,bountiful,bend; beans; table; one; mouth,ホウ; ブ,ゆた.か; とよ
鼓,drum,samurai; beans; table; one; mouth; branch; ten; needle; crotch,コ,つづみ
喜,rejoice,drum; samurai; beans; table; one; mouth; mouth,キ,よろこ.ぶ; よろこ.ばす
樹,timber-trees,tree; wood; drum; samurai; beans; table; one; mouth; glue,ジュ,き
皿,dish,,ベイ,さら
血,blood,drop; dish,ケツ,ち
盆,basin,part; eight; sword; dagger; dish,ボン,
盟,alliance,bright; sun; day; moon; month; flesh; part of the body; dish,メイ,
盗,steal,next; ice; lack; yawn; dish,トウ,ぬす.む; ぬす.み
温,warm,water; water droplets; water pistol; sun; day; dish,オン,あたた.か; あたた.かい; あたた.まる; あたた.める; ぬく
