kanji,english,components,on_reading,kun_reading
原,meadow,cliff; spring; white; dove; small; little,ゲン,はら
願,petition,meadow; cliff; white; dove; small; little; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガン,ねが.う; -ねがい
泳,swim,water; water droplets; water pistol; eternity,エイ,およ.ぐ
沼,marsh,water; water droplets; water pistol; summon; seduce; sword; dagger; mouth,ショウ,ぬま
沖,open sea,water; water droplets; water pistol; in; stick; mouth,チュウ,おき; おきつ; ちゅう.する; わく
汎,pan-,water; water droplets; water pistol; mediocre; wind; drop,ハン; ブ; フウ; ホウ; ホン,ただよ.う; ひろ.い
江,creek,water; water droplets; water pistol; craft,コウ,え
汰,cleanse,water; water droplets; water pistol; plump; large; St. Bernard; drop,タ; タイ,おご.る; にご.る; よな.げる
汁,soup,water; water droplets; water pistol; ten; needle,ジュウ,しる; -しる; つゆ
沙,grains of sand,water; water droplets; water pistol; few,サ; シャ,すな; よなげる
潮,tide,water; water droplets; water pistol; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ,しお; うしお
源,source,water; water droplets; water pistol; meadow; cliff; sun; day; small; little,ゲン,みなもと
活,lively,water; water droplets; water pistol; tongue; drop; old; tombstone; gravestone; church; ten; needle; mouth,カツ,い.きる; い.かす; い.ける
消,extinguish,water; water droplets; water pistol; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,き.える; け.す
況,but of course,water; water droplets; water pistol; elder brother; teenager; mouth; human legs,キョウ,まし.て; いわ.んや; おもむき
河,river,water; water droplets; water pistol; can; street; nail; spike; mouth,カ,かわ
泊,overnight,water; water droplets; water pistol; white; dove,ハク,と.まる; と.める
湖,lake,water; water droplets; water pistol; uncivilized; zombie; old; tombstone; gravestone; church; ten; needle; mouth; moon; month; flesh; part of the body,コ,みずうみ
測,fathom,water; water droplets; water pistol; rule; shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,はか.る
土,soil,dirt; ground,ド; ト,つち
吐,spit,mouth; soil; dirt; ground,ト,は.く; つ.く
圧,pressure,cliff; soil; dirt; ground,アツ; エン; オウ,お.す; へ.す; おさ.える; お.さえる
埼,cape,soil; dirt; ground; strange; large; St. Bernard; street; nail; spike; mouth,キ,さき; さい; みさき
垣,hedge,soil; dirt; ground; span; one; ceiling; sun; day; one; floor; one,エン,かき
填,inlay,,,
圭,squared jewel,square jewel; ivy; soil; dirt; ground,ケイ; ケ,
封,seal,ivy; square jewel; soil; dirt; ground; glue,フウ; ホウ,
涯,horizon,water; water droplets; water pistol; cliff; ivy; square jewel; soil; dirt; ground,ガイ,はて
寺,Buddhist temple,buddhist temple; soil; dirt; ground; glue,ジ,てら
時,time,sun; day; Buddhist temple; soil; dirt; ground; glue,ジ,とき; -どき
均,level,soil; dirt; ground; ladle; drop,キン,なら.す
火,fire,,カ,ひ; -び; ほ-
炎,inflammation,fire,エン,ほのお
煩,anxiety,fire; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ハン; ボン,わずら.う; わずら.わす
淡,thin,water; water droplets; water pistol; inflammation; fire,タン,あわ.い
灯,lamp,fire; street; nail; spike,トウ,ひ; ほ-; ともしび; とも.す; あかり
畑,farm,fire; rice field; brains,,はた; はたけ; -ばたけ
災,disaster,stream; flood; fire,サイ,わざわ.い
灰,ashes,cliff; fire,カイ,はい
点,spot,fortune-telling; magic wand; augury; mouth; oven-fire; barbecue,テン,つ.ける; つ.く; た.てる; さ.す; とぼ.す; とも.す; ぼち
照,illuminate,shining; sun; day; summon; seduce; sword; dagger; mouth; oven-fire; barbecue,ショウ,て.る; て.らす; て.れる
魚,fish,bound up; rice field; brains; oven-fire; barbecue,ギョ,うお; さかな; -ざかな
漁,fishing,water; water droplets; water pistol; fish; bound up; rice field; brains; oven-fire; barbecue,ギョ; リョウ,あさ.る
里,ri,computer; rice field; brains; soil; dirt; ground,リ,さと
黒,black,computer; oven-fire; barbecue,コク,くろ; くろ.ずむ; くろ.い
墨,black ink,black; computer; oven-fire; barbecue,ボク,すみ
鯉,carp,fish; bound up; rice field; brains; oven-fire; barbecue; computer,リ,こい
量,quantity,nightbreak; sun; day; one; floor; computer,リョウ,はか.る
厘,rin,cliff; computer,リン,
埋,bury,soil; dirt; ground; computer,マイ,う.める; う.まる; う.もれる; うず.める; うず.まる; い.ける
同,same,monks; hood; one; mouth,ドウ,おな.じ
洞,den,water; water droplets; water pistol; same; monks; hood; one; mouth,ドウ,ほら
胴,trunk,moon; month; flesh; part of the body; same; monks; hood; one; mouth,ドウ,
向,yonder,alien; drop; helmet; hood; mouth,コウ,む.く; む.い; -む.き; む.ける; -む.け; む.かう; む.かい; む.こう; む.こう-; むこ; むか.い
尚,esteem,small; little; alien; glass canopy; hood; mouth,ショウ,なお
字,character,house; child,ジ,あざ; あざな; -な
守,guard,house; glue,シュ; ス,まも.る; まも.り; もり; -もり; かみ
完,perfect,house; beginning; two; human legs,カン,
宣,proclaim,house; span; one; ceiling; sun; day; one; floor; one,セン,のたま.う; のたま.わく
宵,wee hours,house; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,よい
安,relax,house; woman,アン,やす.い; やす.まる; やす; やす.らか
宴,banquet,relax; house; sun; day; tongue wagging; woman,エン,うたげ
寄,draw near,house; strange; large; St. Bernard; can; street; nail; spike; mouth,キ,よ.る; -よ.り; よ.せる
富,wealth,house; one; ceiling; mouth; rice field; brains,フ; フウ,と.む; とみ
貯,savings,shellfish; clam; oyster; eye; animal legs; eight; house; street; nail; spike,チョ,た.める; たくわ.える
木,tree,wood,ボク; モク,き; こ-
林,grove,tree; wood,リン,はやし
森,forest,tree; wood,シン,もり
桂,Japanese Judas-tree,Japanese Judas tree; tree; wood; ivy; square jewel; soil; dirt; ground,ケイ,かつら
柏,oak,tree; wood; white; dove,ハク; ヒャク; ビャク,かしわ
枠,frame,tree; wood; ninety; nine; baseball; ten; needle,,わく
梢,treetops,tree; wood; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,こずえ; くすのき
棚,shelf,tree; wood; companion; moon; month; flesh; part of the body; flesh,ホウ,たな; -だな
杏,apricot,tree; wood; mouth,キョウ; アン; コウ,あんず
桐,paulownia,tree; wood; same; monks; hood; one; mouth,トウ; ドウ,きり
植,plant,tree; wood; straightaway; ten; needle; eye; fishhook,ショク,う.える; う.わる
椅,chair,tree; wood; strange; large; St. Bernard; street; nail; spike; mouth,イ,
枯,wither,tree; wood; old; tombstone; gravestone; church; ten; needle; mouth,コ,か.れる; か.らす
朴,crude,tree; wood; magic wand; augury,ボク,ほう; ほお; えのき
村,town,tree; wood; measure; glue,ソン,むら
相,inter-,tree; wood; eye,ソウ; ショウ,あい-
机,desk,tree; wood; wind,キ,つくえ
本,book,tree; wood; one,ホン,もと
札,tag,tree; wood; fishhook,サツ,ふだ
暦,calendar,cliff; grove; tree; wood; sun; day,レキ,こよみ; りゃく
案,plan,relax; house; woman; tree; wood,アン,つくえ
燥,parch,fire; furniture; wooden goods; mouth; tree; wood,ソウ,はしゃ.ぐ
未,not yet,tree; wood; one,ミ; ビ,いま.だ; ま.だ; ひつじ
末,extremity,tree; wood; one,マツ; バツ,すえ
昧,obscure,sun; not yet; one; tree; wood,マイ; バイ,くら.い; むさぼ.る
沫,splash,water; water droplets; water pistol; extremity; one; tree; wood,マツ; バツ,あわ; しぶき; つばき
味,flavor,mouth; not yet; one; tree; wood,ミ,あじ; あじ.わう
妹,younger sister,woman; not yet; one; tree; wood,マイ,いもうと
朱,vermilion,vermillion; drop; not yet; one; tree; wood,シュ,あけ
株,stocks,tree; wood; vermillion; drop; not yet; one; tree; wood,シュ,かぶ
若,young,flowers; right; by one’s side; mouth,ジャク; ニャク; ニャ,わか.い; わか-; も.しくわ; も.し; も.しくは
草,grass,flowers; sunflower; early; sun; day; ten; needle,ソウ,くさ; くさ-; -ぐさ
苦,suffering,flowers; old; tombstone; gravestone; church; ten; needle; mouth,ク,くる.しい; -ぐる.しい; くる.しむ; くる.しめる; にが.い; にが.る
苛,bullying,flowers; can; mouth; street; street; nail; spike,カ,いじ.める; さいな.む; いらだ.つ; からい; こまかい
寛,tolerant,house; flowers; look; see; telescope; eye; human legs,カン,くつろ.ぐ; ひろ.い; ゆる.やか
薄,dilute,flowers; water; water droplets; water pistol; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,ハク,うす.い; うす-; -うす; うす.める; うす.まる; うす.らぐ; うす.ら-; うす.れる; すすき
葉,leaf,flowers; Tarzan; generation; tree; wood,ヨウ,は
模,imitation,tree; wood; graveyard; flowers; sun; day; large; St. Bernard,モ; ボ,
漠,vague,water; water droplets; water pistol; graveyard; flowers; sun; day; large; St. Bernard,バク,
墓,grave,graveyard; flowers; sun; day; large; St. Bernard; soil; dirt; ground,ボ,はか
暮,livelihood,graveyard; flowers; sun; day; large; St. Bernard,ボ,く.れる; く.らす
膜,membrane,moon; month; flesh; part of the body; graveyard; flowers; sun; day; large; St. Bernard,マク,
苗,seedling,flowers; rice field; brains,ビョウ; ミョウ,なえ; なわ-
兆,portent,turtle,チョウ,きざ.す; きざ.し
桃,peach tree,tree; wood; portent; turtle,トウ,もも
眺,stare,eye; portent; turtle,チョウ,なが.める
犬,dog,large; St. Bernard; drop,ケン,いぬ; いぬ-
状,status quo,turtle; chihuahua; dog; large; drop,ジョウ,
黙,silence,black; computer; chihuahua; dog; large; drop; oven-fire; barbecue,モク; ボク,だま.る; もだ.す
然,sort of thing,moon; crescent moon; month; flesh; part of the body; chihuahua; dog; large; drop; oven-fire; barbecue,ゼン; ネン,しか; しか.り; しか.し; さ
荻,reed,flowers; pack of wild dogs; fire,テキ,おぎ
狩,hunt,pack of wild dogs; guard; house; glue,シュ,か.る; か.り; -が.り
猫,cat,pack of wild dogs; seedlings; flowers; rice field; brains,ビョウ,ねこ
牛,cow,,ギュウ,うし
特,special,cow; Buddhist temple; soil; dirt; ground; glue,トク,
告,revelation,cow; mouth,コク,つ.げる
