# Turkish-English dictionary created from OmegaWiki database
# Created on: 2021-09-01T22:00:54+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
Abhazya	Abkhazia
ocak	January
odun	wood
oksijen	oxygen
okumamýþ	illiterate
okçu	archer ; archer
oligarşi	oligarchy
oligopoli	oligopoly
onay	assent
onaylamak	assent
onkoloji	oncology
ontojeni	ontogenesis ; ontogenesis ; ontogeny
ontoloji	ontology
opera	opera
oral seks ; oral ilişki	oral sex
organel	organelle
ortografi	orthography
osmiyum	osmium
otokrosi	autocracy
otopsi	autopsy
otoriter	authoritarian
oşinografi	oceanography
paladyum	palladium
paleontoloji	palaeontology
palindrom	palindrome
pankreas	pancreas
papağan	parrot
parabol	parabola
parmak	finger
patates	potato ; patato
patlama	explosion
patoloji	pathology
pazar	Sunday
pazartesi	Monday
pencere	window
penguen	penguin
periyodik cetvel	periodic table
perşembe	Thursday
phishing	phishing
pinaatti	spinach
pirinç	rice
piskopos	bishop
piyango	lottery
platin	platinum
plütonyum	plutonium ; plutonium ; plutonium
polen	pollen
polimer	polymer
polonyum	polonium
pompa	pump
porselen	porcelain
postacı	postman
postane	post office
postrv	trout
potasyum	potassium
pozitron	positron
prens	prince
problem	problem
prometyum	promethium
prostat	prostate
protaktinyum	protactinium
radon	radon
radyum	radium
ramazan	Ramadan
referandum	referendum ; plebiscite
rehine	hostage
renyum	rhenium
resmi dil	official language
reşit olmayan kimse	minor
rodyum	rhodium
rpilepsi ; epilepsi	epilepsy
rubidyum	rubidium
ruj	lipstick
rutenyum	ruthenium
rutherfordiyum	rutherfordium
röntgenyum	roentgenium
saat	hour
saat dilimi	timezone
saban	plough
sabit disk	hard disk drive ; hard disk ; HD
sabun	soap
safir	sapphire
safra kesesi	gallbladder
saldırgan	aggressive
saldırgan	aggressor ; assailant ; attacker ; assaulter
salı	Tuesday
samaryum	samarium
sardalya	sardine
satmak	sell
savunmak	assert
sağır	deaf
schakal ; çakal	jackal
seaborgiyum	seaborgium
sebze	vegetable
sedimantoloji	sedimentology
sefarethane	embassy ; diplomatic mission
seksoloji	sexology
sekstant	sextant
selenyum	selenium
semiyotik	semiotics ; semiology
sendrom	syndrome
seryum	cerium
serçeparmak	little finger ; pinkie
sevgi	attachment
sezyum	caesium
seçim	ballot
sigara	cigarette
sihirbaz	wizard ; sorcerer ; magician
silisyum	silicon
simya	alchemy
sinagog	synagogue
sincap	chipmunk
sindirmek	assimilate
sirke	vinegar
sivilce ; akne	acne
skandiyum	scandium
sodyum	sodium
somon	salmon
soykırım	genocide
soğan	onion
stiridye	oyster
stronsiyum	strontium
su	water
susuzluk	thirst
suç	crime
suçlu	defendant ; accused
sözcük ; kelime	word
sözlük	dictionary
söğüt	willow
sülün	pheasant
süpermarket	supermarket
süt	milk
sınır	boundary
sırtlan	hyena
takımyıldız	constellation
talebe	grandson
talyum	thallium
tantal	tantalum
tavan arası	attic
tavşan	rabbit
taş baskı	lithography
teknesyum	technetium
telefon	phone ; telephone
tellür	tellurium
teokrasi	theocracy
teoloji	theology
terbiyum	terbium
tercüman	interpreter
tercüme	translate ; interpret
terlik	slipper
testosteron	testosterone
titanyum	titanium
toplama	addition
toplamak	assemble ; get together ; gather
toplamak	add
topoloji ; tопологія	topology
toryum	thorium
trampet	trumpet
tren	train
trigonometri ; trigonometri ; trigonometri	trigonometry
trombon	trombone
tundra	tundra
tungsten	tungsten
turk	assignment
tutku	aspiration
tülyum	thulium
tünel	tunnel
tütün	tobacco
ulaşmak	attain
umut	hope
ununbiyum	ununbium
ununheksiyum	ununhexium
ununkuadyum	ununquadium
ununoktiyum	ununoctium
ununpentiyum	ununpentium
uranyum	uranium
uskumru	mackerel
utanmş	ashamed
uydurmak	arrange ; adapt ; adjust ; conform ; accommodate ; suit
uyumakta	asleep
uçak	aeroplane ; bird ; plane
uğraşmak	attend
vampir	vampire
vanadyum	vanadium
varýþ	arrival
vatandaslik	birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition
vaşak	lynx
vida	screw
voleybol	volleyball
yaratıcılık	creativity ; inventiveness
yarımada	peninsula
yarın	tomorrow
yat	yacht
yatak	bed
yavaş	slow
yay	bow
yazarlık	authorship
